role_k1000_v3,role_k1000_v3_num,x_2d,y_2d
Program Manager,497,2.1534193,4.8073072
Project Management,498,2.1450775,4.7958302
Project Manager,499,2.2213237,4.721365
Release Engineer,500,3.4138625,7.349419
Risk Compliance Analyst,501,3.367261,3.043583
Security Project Manager,502,2.0326462,4.3490367
ServiceNow Consultant,503,3.2908359,6.4804187
Technology Integrator,504,3.8411467,6.480667
Telecom Consultant,505,5.0451503,6.7487955
Business Analyst,506,3.5731559,4.9429445
Configuration Analyst,507,3.4396813,5.259151
Customer Experience Analyst,508,6.4661474,5.469386
Document Analyst,509,4.3903375,1.6641613
Dynamics 365 Consultant,510,3.3047678,6.500028
E-commerce Analyst,511,7.626198,5.9102325
EDI Analyst,512,3.455718,5.3829765
ERP Consultant,513,3.534288,6.5803113
HCM Systems Analyst,514,3.5802069,5.376546
Healthcare Systems Analyst,515,3.4365387,5.358797
Insurance Analyst,516,4.012161,3.5769274
LIMS Analyst,517,3.0476677,5.0787234
Operations Analyst,518,6.94269,6.1288524
Program Analyst,519,3.5747962,4.816891
QA Analyst,520,3.1216178,8.095964
Records Administrator,521,4.515574,1.6969306
SAP Consultant,522,3.3036096,6.605539
SAP Data Analyst,523,3.2743514,5.82289
SAP Developer,524,3.0878825,6.6755824
SAP Instructor,525,8.304707,0.8279128
SAP Test Engineer,526,3.1347036,7.172668
Salesforce Administrator,527,3.1039345,6.3343825
ServiceNow Developer,528,3.203484,6.528591
Systems Analyst,529,3.5366564,5.311778
Training and Curriculum Analyst,530,7.9747634,1.0230275
Administrative Assistant,531,5.8225956,2.2847664
Bilingual Administrative Coordinator,532,6.4641705,2.5568597
Court Clerk,533,4.4930696,1.8369052
Education Administrator,534,8.008739,1.5920529
Election Support,535,5.212001,2.0000143
Executive Assistant,536,5.921517,2.3132672
HR Administrative Assistant,537,5.936656,2.040772
Program Coordinator,538,7.191422,2.715219
Records Clerk,539,4.576361,1.7349696
Research Coordinator,540,2.4204423,5.630222
Climate Analyst,541,5.9039893,8.056271
Community Coordinator,542,7.3401556,2.7063532
Community Organizer,543,7.481174,2.7015672
Community Program Coordinator,544,7.345056,2.726638
Development Director,545,5.300137,3.3593907
Development Officer,546,5.1254783,3.1008883
Environmental Coordinator,547,6.5032806,7.998995
Finance Volunteer,548,7.2633,2.834617
Food Program Coordinator,549,8.219495,4.3498163
Grant Administrator,550,5.123641,2.9161978
International Policy Advisor,551,4.811956,3.7222595
Nonprofit Volunteer,552,7.47422,2.781213
Policy Evaluator,553,3.7125616,3.1820838
Public Policy Advocate,554,4.8018527,3.706937
Public Relations Officer,555,4.8006244,3.813803
Stakeholder Engagement,556,4.873792,3.8498418
Immigration Consultant,557,6.094385,3.0126758
Civil Rights Investigator,558,3.3949864,2.3782434
Correctional Officer,559,5.7660503,9.493399
Emergency Dispatcher,560,5.6339273,8.739287
Emergency Management,561,5.55366,9.2602005
Law Enforcement Officer,562,5.6941957,9.387588
Legal Counsel,563,3.3659694,2.0437365
Military Operations Officer,564,6.884398,8.933246
Public Safety Officer,565,5.659082,9.399452
Records Examiner,566,4.413325,1.7609586
Security Instructor,567,8.322151,1.061278
Wildlife Conservation Officer,568,5.8742137,8.973935
Academic Researcher,569,2.3477137,5.810666
Creative Arts Educator,570,7.9954147,1.4122488
Data Science Educator,571,8.038335,1.327073
Language Instructor,572,8.221245,1.4591818
Language Translator,573,6.4662337,2.6968136
Legal Analyst,574,3.4067097,2.7927017
Library Assistant,575,5.1449966,1.6770649
Media Writer,576,5.26096,5.132202
Multimedia Designer,577,5.3013835,5.8718405
Museum Curator,578,5.2584953,1.6530807
Research Analyst,579,3.1153882,5.012052
Research Intern,580,2.2834003,5.8427954
Social Science Educator,581,8.141087,1.4963772
Survey Researcher,582,2.3579748,5.84741
University Faculty,583,7.928541,1.5853229
Writer,584,5.154755,5.0101914
Admissions Officer,585,6.468738,2.0593925
Art Instructor,586,8.004817,1.3984092
Arts Educator,587,8.032176,1.4890637
Behavior Analyst,588,8.418043,2.39972
Campus Engagement Coordinator,589,7.3152285,2.6264198
Campus Student Support,590,7.541677,1.8943046
Career Coach,591,7.681043,1.422022
Childcare Provider,592,8.257007,1.853866
Classroom Teacher,593,8.192997,1.5782567
Community Volunteer,594,7.4931507,2.7957602
Culinary Instructor,595,8.340008,4.667578
Early Childhood Educator,596,8.150356,1.625454
Education Coordinator,597,7.9871917,1.7003965
Educator,598,8.082853,1.7678902
Employment Advisor,599,6.8952155,1.8734075
Enrollment Officer,600,6.236546,2.053252
Family Support Counselor,601,8.0449095,2.4470742
Financial Aid Advisor,602,5.841788,2.47822
Fitness Coach,603,8.599983,2.3512027
Housing Support Coordinator,604,7.357413,2.764774
Internship Coordinator,605,7.0722227,2.6659439
Language Teacher,606,8.227207,1.4793676
Library Educator,607,7.9531684,1.3882273
Performing Artist,608,6.0200715,5.812741
Recreation Program Coordinator,609,7.4908037,2.6344554
Religious Leader,610,7.7519627,2.4477494
Religious Teacher,611,8.133736,1.5184087
School Bus Coordinator,612,8.025013,1.7674624
Science Educator,613,8.124242,1.4688765
Social Services Advocate,614,8.107556,2.6147437
Social Services Evaluator,615,8.0726185,2.563442
Social Support Worker,616,8.243511,2.6015007
Special Education Teacher,617,8.219181,1.601519
Spiritual Care Chaplain,618,8.146073,2.5067344
Sports Coach,619,8.600835,2.374801
Sports Operations,620,7.385065,5.5486374
Student Welfare Advisor,621,7.0190144,2.0162501
Youth Educator,622,8.093891,1.6083766
Apprenticeship Facilitator,623,8.267564,0.70217663
Aviation Instructor,624,8.255167,1.1497799
Corporate Trainer,625,8.362911,0.64511013
Cybersecurity Instructor,626,8.271232,1.0037888
Language Coach,627,8.283133,1.7347778
Learning Designer,628,7.9167786,1.1886797
Learning Developer,629,7.938729,1.0721046
Safety Trainer,630,8.352509,0.7095024
Trainer,631,8.335439,0.6117598
Training Auditor,632,3.8527055,2.8239899
Acquisition Strategist,633,4.4879527,3.8699815
Business Development,634,5.725337,3.8659718
Business Intern,635,6.884193,3.3876166
Client Solutions,636,6.0087194,4.912169
Energy Strategist,637,5.628545,7.9624176
Engagement Coordinator,638,7.132869,2.8812509
Entrepreneur,639,5.394239,3.817093
Innovation Consultant,640,4.265092,5.8124743
International Strategy,641,4.9255652,3.8757145
Licensing Strategist,642,3.598004,2.4479373
Network Strategist,643,4.595346,6.579361
Partnerships Coordinator,644,6.984854,2.7730014
Pricing Strategist,645,4.7156315,4.225299
Proposal Analyst,646,4.5157967,4.633599
Revenue Operations Leader,647,5.198221,4.350849
Strategy Consultant,648,4.477606,5.368433
Sustainability Advisor,649,5.8756537,7.9097886
Telecom Planner,650,5.813816,6.9780936
Brand Ambassador,651,6.7811027,4.5840573
Brand Marketing,652,5.7618804,4.814431
Brand Strategist,653,5.7040815,5.0619307
E-commerce Operations,654,7.524605,5.8465343
Fashion Buyer,655,6.0251694,5.4557695
Fashion Designer,656,5.7260923,5.6187973
Franchise Operations Specialist,657,5.8128133,3.1782312
Retail Sales,658,7.225672,4.665618
Communications Coordinator,659,5.6065207,4.577209
Content Creator,660,5.4237275,5.260287
Content Marketing,661,5.374733,4.9817963
Creative Project Manager,662,2.3185833,4.71679
Digital Marketing,663,5.414586,4.946448
Event Management,664,7.229728,5.2662563
Fundraising Coordinator,665,6.905757,2.8951106
Healthcare Marketer,666,5.911561,4.6108184
Marketing Assistant,667,5.71957,4.596561
Marketing Coordinator,668,5.683391,4.5879135
News Journalist,669,5.2951946,5.1649575
Proposal Writer,670,4.7778044,4.8222446
SEO Content Writer,671,5.2530375,5.042318
Search Marketing,672,5.4319797,4.848189
Social Media Marketing,673,5.537943,4.817212
Sports Marketing,674,5.637247,4.8517413
Video Producer,675,5.3862433,5.7243133
Visual Designer,676,5.3282676,5.876294
Customer Enablement,677,6.361149,4.9682765
Customer Experience,678,6.618962,5.4488883
Digital Marketing Strategist,679,5.4088326,4.8642035
E-commerce Coordinator,680,7.8545356,6.0207176
Education Product Developer,681,7.8806663,1.1616634
Financial Product Manager,682,1.650034,4.6218696
Growth Marketing,683,5.476047,4.820227
Healthcare Product Manager,684,1.6424614,4.6595864
Marketing Insights Analyst,685,4.032093,4.907523
Product Manager,686,1.6080803,4.6691055
Revenue Growth Strategist,687,5.1729856,4.423316
Sales Analyst,688,3.8612423,4.5813375
Finance Recruiter,689,6.1034646,1.4036871
Life Sciences Recruiter,690,6.138224,1.3793426
Recruitment Consultant,691,6.1519413,1.4228041
Talent Acquisition Director,692,6.040712,1.415414
Talent Marketing,693,5.5276237,4.769113
Technical Recruiter,694,6.1651225,1.3570228
Agricultural Sales,695,6.633495,4.111223
Bid Coordinator,696,4.5133195,4.4370556
Bid Manager,697,4.622735,4.48948
Client Account Manager,698,5.3616967,3.8141725
Customer Relations,699,6.59885,5.2544684
Customer Service Trainer,700,8.267952,0.5521982
Customer Success,701,6.3904743,5.09301
Cybersecurity Sales Representative,702,6.607351,4.07344
Dental Sales,703,6.943871,4.2804008
Digital Sales,704,5.473222,4.884471
Financial Sales,705,6.3187714,3.820098
Food and Beverage Sales,706,6.954966,4.422513
Healthcare Marketing,707,5.774413,4.6963444
Healthcare Sales,708,6.923507,4.016701
Healthcare Sales Specialist,709,7.112748,3.96732
Hospitality Sales,710,6.872578,4.359529
Insurance Sales,711,6.447701,3.9017775
Life Sciences Sales,712,6.876161,4.015931
Logistics Sales,713,8.815704,6.2564106
Market Access Analyst,714,3.7837913,4.330185
Medical Product Manager,715,1.6097488,4.6573315
Medical Sale,716,6.999019,4.022121
Multilingual Sales Agent,717,6.120676,3.536897
Pharmaceutical Leader,718,9.361716,4.067613
Pharmaceutical Sale,719,7.0522137,4.0288725
Public Sector Sales,720,6.561274,4.028666
Real Estate Agent,721,5.7860804,3.2942114
Regional Sales,722,6.5785656,4.0780835
Remote Sales Representative,723,6.4884977,3.9523206
Renewal Specialist,724,5.138008,4.2846336
Roofing Sales Representative,725,6.53739,4.020069
Sales Account Executive,726,6.355497,4.007645
Sales Consultant,727,6.6205792,4.1263127
Sales Enablement,728,6.4719954,4.5851707
Sales Intern,729,6.8690867,3.6795201
Sales Operations,730,6.9569325,5.858032
Sales Project Coordinator,731,4.3832183,4.557035
Sales Representative,732,6.543687,3.9717472
Sales Support,733,6.7188168,3.8506513
Sales Trainee,734,6.722901,3.8993309
Sales Trainer,735,8.292562,0.59505486
Sales and Marketing,736,6.5271177,4.4893794
Solar Energy Sales,737,6.673616,4.1777945
Tech Sales,738,6.7015204,4.135425
Technical Sales,739,6.7625484,4.130499
Travel Consultant,740,6.23454,3.2677772
Value Consultant,741,5.001411,4.3674364
Vehicle Sales,742,6.7094336,4.3322477
Automotive Advisor,743,6.834841,4.733952
Automotive Customer Support,744,6.5925508,5.2372427
Call Center Operations,745,6.9542613,5.9570518
Customer Data Analyst,746,3.529885,5.184288
Customer Service,747,6.618515,5.256505
Customer Service Representative,748,6.573494,5.246142
Customer Service Supervisor,749,7.5035777,6.6551943
Customer Support Agent,750,6.540223,5.28398
Customer Support Representative,751,6.613869,5.3091784
Membership Coordinator,752,7.139506,2.6491492
Rental Agent,753,5.8660264,3.4478817
Animal Caregiver,754,8.807831,4.364975
Animal Nutritionist,755,8.699754,4.4596863
Cashier,756,7.760632,5.060749
Casino Ticketing,757,7.69962,5.402931
Catering Coordinator,758,7.922926,4.3478255
Chef,759,8.384373,4.804124
Cleaner,760,7.792499,7.5132914
Custodial Staff,761,7.691974,7.5591784
Deli and Bakery Staff,762,8.013227,4.870936
Delivery Driver,763,8.979261,6.815686
Event Operations,764,7.3268237,5.4129734
Event Photographer,765,7.081701,5.4837894
Event Specialist,766,7.352054,5.0615916
Facility Caretaker,767,7.5060244,7.666344
Fitness Trainer,768,8.663151,2.4263222
Flight Attendant,769,7.1750836,8.816705
Food Server,770,8.077028,4.7996464
Food Service,771,8.070839,4.823709
Food Service Management,772,8.378751,4.771388
Food Service Volunteer,773,8.037045,4.238071
Gaming Attendant,774,7.689985,5.5039945
Gardener,775,7.892475,8.052497
Guest Services,776,7.692742,5.3012676
Hospitality Intern,777,6.9832993,3.5290203
Hospitality Services,778,7.766281,5.187111
Hotel Operations,779,7.600903,5.416301
Housekeeping Attendant,780,7.6966577,7.5119033
Housekeeping Supervisor,781,7.606807,7.0045705
Lifeguard,782,5.6593957,9.349643
Passenger Transport Driver,783,8.960484,6.8247666
Pastry Chef,784,8.322811,4.7918425
Performer,785,6.379555,5.6874237
Recreation Activities Coordinator,786,7.510747,2.604979
Restaurant Crew,787,7.982381,5.0158696
Service Attendant,788,7.8864436,7.368329
Spa Technician,789,7.343672,7.86436
Travel Coordinator,790,6.688755,2.897384
Visitor Services,791,7.748999,5.344549
Cash Clerk,792,4.9284782,2.8012679
Delivery Courier,793,8.962489,6.7718325
Facilities Coordinator,794,7.0644975,7.226825
Leasing Agent,795,5.804739,3.41744
Mail Processor,796,4.5407944,1.8056971
Mortician,797,4.6359096,1.8357396
Office Assistant,798,5.714421,2.3079162
Parking Attendant,799,7.8102093,5.6094046
Telecommunications Operator,800,5.1709156,6.837419
Vehicle Clerk,801,7.970417,6.801909
Automotive Sales,802,6.8635306,4.43949
Beauty Consultant,803,6.708356,4.612003
Beauty Retail Manager,804,6.2819924,5.299531
Beverage Sales Consultant,805,6.899899,4.4360905
Dispensary Sales,806,7.0522337,4.401549
Fashion Stylist,807,5.925479,5.511735
Food Retail Associate,808,7.732466,4.8188434
Home Design Consultant,809,6.3194714,3.7817636
Optical Technician,810,9.416712,3.4216857
Pest Control Sales,811,6.622941,4.092634
Pet Sales Associate,812,7.158374,4.5392466
Retail Cashier,813,7.638047,4.934558
Retail Merchandiser,814,7.462249,5.0598435
Retail Operations,815,7.4463463,5.449828
Retail Sales Associate,816,7.5098495,4.9031096
Retail Stock Associate,817,7.5413837,5.026964
Visual Merchandiser,818,5.7638326,5.646598
Asset Protection Manager,819,5.8796115,9.593878
Event Security,820,5.770382,9.490636
Loss Prevention Specialist,821,5.767693,9.570705
Maritime Security Officer,822,5.7392716,9.478917
Parking Officer,823,5.7642574,9.35644
Security Operations,824,5.670398,9.48669
Security Personnel,825,5.6955547,9.470855
Security Surveillance,826,5.7083316,9.531036
Airport Operations Supervisor,827,7.5589337,6.874457
Animal Care Manager,828,8.736647,4.479793
Automotive Service Operations,829,7.072992,6.050615
Branch Operations,830,7.0957184,5.954856
Casino Operations,831,7.6090584,5.4468036
Crew Coordinator,832,7.769854,6.728464
Delivery Logistics,833,8.891105,6.523226
Farm Operations,834,7.9431453,8.026313
Operations Director,835,6.736896,6.468808
Residential Property Management,836,5.6722236,3.4166806
Service Supervisor,837,7.538247,6.893972
Shift Supervisor,838,7.447624,6.636648
Team Lead,839,7.4075346,6.6608696
3D Designer,840,5.248745,6.1610236
Accessibility Consultant,841,4.5417075,5.6600156
Audio Visual Engineer,842,5.417956,6.152376
Digital Game Artist,843,5.1402154,6.0137706
Game Designer,844,4.9858117,6.134558
Game Developer,845,4.8691072,6.222229
Localization Specialist,846,6.3944182,2.7423947
Technical Writer,847,4.8283505,4.861596
UX Designer,848,4.9181876,6.0521193
UX Researcher,849,2.3768325,5.921634
Virtual Reality Developer,850,4.853718,6.2120748
Visual Artist,851,5.454303,5.8027115
Visual Effects Artist,852,5.4013224,5.8769345
Web Designer,853,5.252491,5.8196883
.NET Developer,854,3.1456132,6.8647075
AI Engineer,855,3.643535,7.1221633
AI Project Manager,856,2.0818064,4.8731003
AI Researcher,857,2.365183,5.868887
Aerospace Software Engineer,858,3.8961146,7.4774747
Application Developer,859,3.1576078,6.8095036
Bioinformatics Analyst,860,3.0318696,5.4231925
Blockchain Consultant,861,3.8815734,6.0201526
Blockchain Developer,862,3.2655787,6.630161
Broadcast Engineer,863,5.2739477,6.474854
Cloud Architect,864,3.7417338,6.340792
Cloud Engineer,865,3.6644425,6.621922
Cloud Security Engineer,866,1.9595175,3.590942
Computer Vision Engineer,867,4.009258,7.1992908
Cybersecurity Architect,868,1.9834342,3.6011624
Cybersecurity Engineer,869,1.9083719,3.5260606
Data Architect,870,3.1752796,5.9424386
Data Developer,871,3.1492133,5.8972363
Data Engineer,872,3.1237767,5.9676876
Data Engineering Leader,873,3.0945063,5.9458814
Data Product Manager,874,1.6432565,4.7374387
Data Scientist,875,3.0377069,5.6001606
Data Testing Engineer,876,3.193513,7.235641
Data Visualization Developer,877,3.2392933,5.9152946
Database Developer,878,3.1192803,6.4593306
Developer Advocate,879,3.784681,6.397584
Digital Forensic Analyst,880,2.498156,2.8861914
Embedded Software Engineer,881,3.4630604,7.032193
Fintech Developer,882,3.2571917,6.6376276
GIS Engineer,883,5.1986494,7.2081866
Game Software Engineer,884,4.763237,6.269089
Geospatial Analyst,885,5.3206215,7.228098
Geospatial Developer,886,5.22874,7.211579
Hardware Engineer,887,4.154504,7.504952
Healthcare Architect,888,3.800066,6.0575275
Healthcare Engineer,889,4.214857,7.741362
Identity Access Engineer,890,1.9733428,3.5874622
Infrastructure Engineer,891,4.0790687,6.8690276
Innovation Developer,892,3.899547,6.3511868
IoT Developer,893,3.3458147,6.9449773
Java Developer,894,3.1511002,6.7986736
Java Oracle Developer,895,3.0430503,6.651537
Mainframe Developer,896,3.287781,6.7788267
Middleware Engineer,897,3.4699926,6.823904
Mobile Developer,898,3.2360315,6.8829136
Network Engineer,899,4.6059494,6.7442384
Network Security Engineer,900,1.9073482,3.534224
PHP Developer,901,3.1101663,6.7773395
Penetration Tester,902,1.9100685,3.311147
Performance Engineer,903,3.98899,7.041753
QA Engineer,904,3.2436795,7.9555163
Quantitative Analyst,905,3.4249907,4.037203
RPA Developer,906,3.2580142,7.0183744
Red Team Operator,907,2.0029218,3.2175534
Robotics Engineer,908,3.913515,7.4062767
Ruby on Rails Developer,909,3.0365782,6.807583
Salesforce Developer,910,3.091311,6.6448617
Security Product Manager,911,1.8385068,4.0875955
Software Architect,912,3.6491926,6.4079623
Software Automation Engineer,913,3.4684734,7.231067
Software Developer,914,3.1274846,6.832761
Solutions Architect,915,3.7476044,6.331605
Statistical Analyst,916,3.137439,5.179724
Systems Engineer,917,4.0767374,7.0978994
Tech Founder,918,3.8110883,6.351513
Tech Trainer,919,8.304888,0.6328142
Technical Product Manager,920,1.585529,4.6884246
Technical Program,921,2.0769336,5.1418886
Technology Systems Engineer,922,4.038158,7.119744
Test Engineer,923,3.7893302,7.7433767
Wireless Communications Engineer,924,5.102835,6.7158685
Agricultural Technician,925,7.9006743,8.114155
Aircraft Maintenance,926,7.2363143,8.749979
Aircraft Technician,927,7.271929,8.650396
Assembler,928,8.621574,7.8502307
Automotive Inspector,929,6.5237465,8.850757
Automotive Technician,930,7.3152075,7.794832
Cleaning Technician,931,7.654438,7.657782
Combat Operator,932,6.951544,8.7809725
Commercial Truck Driver,933,8.798897,7.120314
Construction Foreman,934,7.6686935,8.039056
Construction Worker,935,7.952596,8.049583
Creative Producer,936,5.3425317,5.628493
Custodian,937,7.6767364,7.6658225
Damage Control Technician,938,7.3910646,8.354331
Document Technician,939,4.4222007,1.6415055
Driving Instructor,940,8.310432,1.037824
Entertainment Technician,941,5.8385077,6.1963882
Environmental Technician,942,6.8243427,8.140171
Equipment Operator,943,8.236125,7.627884
Farm Laborer,944,8.140471,7.970501
Field Service Technician,945,7.048204,7.9939537
Firefighter,946,5.7242947,9.226188
Fleet Supervisor,947,7.682621,6.8982368
Food Assembler,948,8.686413,7.69644
Food Production,949,8.666247,7.6615973
Food Production Supervisor,950,8.422512,5.0308213
Grain Technician,951,7.9806232,8.111451
Grounds Maintenance,952,7.582795,7.8481607
HVAC Technician,953,7.320649,8.103224
HVAC Trainer,954,8.3722725,0.5760872
Industrial Operator,955,8.351014,7.740032
Industrial Worker,956,8.412456,7.8184595
Inspection Technician,957,6.4890294,8.910702
Landscape Gardener,958,7.7876086,8.077565
Locksmith Technician,959,7.276434,7.95427
Logistics Handler,960,8.875053,6.5091233
Logistics Operator,961,8.838785,6.505515
Lumber Operations,962,8.318937,7.9830666
Machinist,963,8.490803,8.123641
Maintenance Operations,964,7.350556,7.264389
Maintenance Technician,965,7.3802085,7.9020257
Manufacturing Operator,966,8.474178,7.757241
Manufacturing Process Trainer,967,8.294432,0.64954203
Manufacturing Worker,968,8.587021,7.8099318
Marine Technician,969,7.4141073,8.294561
Media Technician,970,5.793806,6.1481004
Metal Fabricator,971,8.527395,8.0454035
Molding Machine Operator,972,8.649477,7.8670907
Molding Technician,973,8.662299,7.8701334
Package Handler,974,8.717632,7.02744
Painter,975,7.925983,8.001334
Parts Handler,976,8.527083,6.9793887
Pest and Lawn Technician,977,7.576977,8.123037
Plumbing Technician,978,7.4085884,8.012269
Print Technician,979,8.722994,7.9313664
Production Operator,980,8.50641,7.8096743
Production Supervisor,981,7.8578863,6.8009453
Production Technician,982,8.573669,7.834186
Quality Tester,983,3.1812663,8.093978
Recycling Operator,984,8.090093,7.5953197
Restoration Technician,985,7.422138,8.250005
Sanitation Cleaner,986,7.78721,7.5109496
Sanitation Manager,987,7.6793175,7.5022235
Sanitation Worker,988,7.8053336,7.504228
Scaffolder,989,8.16338,7.999194
Technical Instructor,990,8.2768545,0.9244212
Traffic Operations,991,7.34501,6.349249
Transport Driver,992,8.904049,6.864344
Transport Operator,993,8.86311,6.7902455
Truck Driver,994,8.880448,6.889044
Utility Construction Technician,995,7.5629,8.206132
Utility Technician,996,7.4707546,8.09352
Vehicle Detailer,997,7.9873734,7.2379766
Vehicle Technician,998,7.4550953,7.760257
Warehouse Associate,999,8.581605,7.1771936
Warehouse Worker,1000,8.557717,7.28624
Waste Collection Driver,1001,7.733513,7.5864644
Waste Management,1002,6.7313685,7.918603
Waste Management Coordinator,1003,6.6662326,7.917206
unknown,1004,4.4400964,7.910531
